Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References
GHK peptide,7888.0,340.38,0.7,1,2,36.855,1.0,2.4619652,194.1998183,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,3.0,5.6861063,448.5200612,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,6.0,9.0041458,710.2470186,
GHK peptide,7888.0,340.38,0.7,1,2,36.855,9.0,11.6244901,916.9397782,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,1.0,0.2891969,22.81185437,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,1.0,0.2736605,21.58634282,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,1.0,0.1807479,14.2573962,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,3.0,0.424926,33.5181655,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,3.0,0.3637388,28.69171996,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,3.0,0.3524695,27.80279558,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,6.0,0.5439803,42.90916931,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,6.0,0.4577203,36.10497467,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,6.0,0.4853251,38.28244524,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,9.0,0.620593,48.95237426,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,9.0,0.5221895,41.19030492,
GHK peptide,7888.0,340.38,0.7,2,2,36.855,9.0,0.5927416,46.75545732,
lidocaine,5000.0,234.34,0.7,2,2,36.855,1.0,0.0407876,2.039379206,"Li H. Creation of transport pathways across skin by microneedles for drug delivery [Ph.D thesis]. Singapore: Department of Pharmacy, National University of Singapore; 2016. https://scholarbank.nus.edu.sg/handle/10635/129141."
lidocaine,5000.0,234.34,0.7,2,2,36.855,3.0,0.6606969,33.03484383,
lidocaine,5000.0,234.34,0.7,2,2,36.855,6.0,2.8926549,144.6327434,
lidocaine,5000.0,234.34,0.7,2,2,36.855,9.0,6.8148163,340.7408145,
lidocaine,5000.0,234.34,0.7,2,2,36.855,1.0,0.0411237,2.05618266,
lidocaine,5000.0,234.34,0.7,2,2,36.855,3.0,0.6565894,32.82946828,
lidocaine,5000.0,234.34,0.7,2,2,36.855,6.0,2.7240229,136.2011436,
lidocaine,5000.0,234.34,0.7,2,2,36.855,9.0,5.9165036,295.8251818,
lidocaine,5000.0,234.34,0.7,2,2,36.855,1.0,0.0404142,2.020708701,
lidocaine,5000.0,234.34,0.7,2,2,36.855,3.0,0.675932,33.79660041,
lidocaine,5000.0,234.34,0.7,2,2,36.855,6.0,2.945007,147.2503481,
lidocaine,5000.0,234.34,0.7,2,2,36.855,9.0,6.9493559,347.4677973,
