MW,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms,canon_smiles,logKp_cm_h,n_measurements,sources
315.3690000000001,1.0481999999999998,59.00000000000001,1,5,1,5,1,0.6111111111111112,83.01780000000004,5,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,-3.03,1,SkinPiX
299.37000000000006,1.9333,38.77,0,4,1,5,1,0.6111111111111112,81.55800000000004,4,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,-2.89,1,SkinPiX
299.3700000000001,1.5010999999999999,41.93,1,4,1,5,1,0.5555555555555556,82.46380000000003,4,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-3.76,2,"HuskinDB,SkinPiX"
301.3860000000001,1.7251,41.93,1,4,1,5,1,0.6666666666666666,82.55780000000004,4,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,-2.63,1,SkinPiX
230.26299999999998,3.036500000000001,46.53,1,2,3,2,2,0.21428571428571427,66.55080000000004,3,COc1ccc2cc(C(C)C(=O)O)ccc2c1,-3.1,1,HuskinDB
392.404,0.2949999999999995,125.68000000000002,4,8,5,3,2,0.45,98.77420000000004,8,COc1ccc2cc(C(C)C(=O)OCC3OC(O)C(O)C(O)C3O)ccc2c1,-4.24,1,HuskinDB
336.4150000000001,5.166100000000005,54.18000000000001,1,4,4,3,3,0.2,102.34880000000004,5,COc1ccccc1N=Nc1c(O)ccc2ccc([N+](C)(C)C)cc12,-2.91,1,SkinPiX
231.29900000000004,1.55042,30.17,0,2,2,2,2,0.3076923076923077,70.07400000000003,4,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-2.93,1,SkinPiX
142.58499999999998,2.3540200000000002,20.23,1,1,0,1,1,0.14285714285714285,37.853800000000014,2,Cc1c(O)cccc1Cl,-1.44,1,HuskinDB
122.171,1.1594200000000001,52.04,2,2,0,1,1,0.14285714285714285,40.0038,2,Cc1cc(N)ccc1N,-2.53,1,SkinPiX
117.151,1.8667,23.79,0,1,0,1,1,0.125,35.894000000000005,1,Cc1ccc(C#N)cc1,-1.57,1,SkinPiX
150.221,2.824020000000001,20.23,1,1,1,1,1,0.4,46.93280000000003,1,Cc1ccc(C(C)C)c(O)c1,-1.21,1,HuskinDB
150.221,2.8240200000000013,20.23,1,1,1,1,1,0.4,46.93280000000003,1,Cc1ccc(C(C)C)cc1O,-1.25,1,HuskinDB
156.61200000000002,2.662440000000001,20.23,1,1,0,1,1,0.25,42.59080000000002,2,Cc1ccc(Cl)c(O)c1C,-1.09,1,HuskinDB
160.172,2.10142,30.21,0,2,0,2,2,0.1,47.22100000000001,2,Cc1ccc2oc(=O)ccc2c1,-1.31,1,SkinPiX
208.28,2.2986000000000004,0.0,0,0,0,0,0,1.0,27.494999999999997,3,ClC(Br)Br,-0.69,1,HuskinDB
163.829,2.1425,0.0,0,0,0,0,0,1.0,24.420999999999996,3,ClC(Cl)Br,-0.74,1,HuskinDB
119.37800000000001,1.9864,0.0,0,0,0,0,0,1.0,21.346999999999998,3,ClC(Cl)Cl,-0.79,1,HuskinDB
416.1350000000001,6.454800000000002,27.05,0,2,6,3,3,0.16666666666666666,102.68100000000003,7,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,-0.3,1,SkinPiX
230.09799999999998,2.3644999999999996,36.42,2,3,1,2,1,0.2222222222222222,60.38940000000001,5,Clc1cccc(Cl)c1NC1=NCCN1,-4.56,1,SkinPiX
344.845,5.376700000000004,17.82,0,1,4,4,4,0.045454545454545456,101.84300000000002,3,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,-5.7,1,HuskinDB
180.16699999999997,-1.0397000000000005,72.68,1,3,0,2,2,0.2857142857142857,46.57570000000001,6,Cn1c(=O)c2[nH]cnc2n(C)c1=O,-4.04,2,"HuskinDB,SkinPiX"
194.194,-1.0293,61.82,0,3,0,2,2,0.375,51.19600000000001,6,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-3.43,2,"HuskinDB,SkinPiX"
198.22899999999998,1.7037,56.730000000000004,1,3,0,3,3,0.09090909090909091,60.42740000000002,4,Cn1c(N)nc2c3cccnc3ccc21,-2.45,1,SkinPiX
198.845,1.62588,23.79,0,1,0,0,0,0.5,27.255,3,N#CC(Br)Br,-0.77,1,HuskinDB
